Local time in Wurzburg,T,Po,P,Pa,U,DD,Ff,ff10,ff3,N,WW,W1,W2,Tn,Tx,Cl,Nh,H,Cm,Ch,VV,Td,RRR,tR,E,Tg,E',sss
30.05.2019 03:00,7.0,745.0,769.9,,94,Wind blowing from the south-southeast,1,,,no clouds, ,,,,,,,,,,9.0,6.1,,,,,,
30.05.2019 02:00,7.8,744.8,769.6,,92,Wind blowing from the south-southeast,1,,,no clouds, ,,,,,,,,,,16.0,6.5,No precipitation,6,,,,
30.05.2019 01:00,8.3,744.9,769.7,,89,Wind blowing from the south,1,,,no clouds, ,,,,,,,,,,20.0,6.6,,,,,,
30.05.2019 00:00,9.8,744.7,769.4,,85,Wind blowing from the west-southwest,1,,,no clouds, ,,,,,,,,,,30.0,7.3,,,,,,
29.05.2019 23:00,10.2,744.4,769.0,,81,Wind blowing from the south-southwest,1,,,no clouds, ,,,,,,,,,,40.0,7.1,,,,,,
29.05.2019 22:00,11.9,744.1,768.5,,67,Wind blowing from the west-southwest,1,,,no clouds, ,,,,,,,,,,65.0,6.0,,,,,,
29.05.2019 21:00,13.2,743.5,767.8,,59,Wind blowing from the east-southeast,2,,,no clouds, ,,,,,,,,,,70.0,5.4,,,,,,
29.05.2019 20:00,13.4,743.2,767.5,,63,Wind blowing from the south-east,2,,,no clouds, ,,,10.5,16.2,,,,,,70.0,6.5,2,12,,,,
29.05.2019 19:00,15.7,742.9,767.0,,55,Wind blowing from the east,2,,,"10%  or less, but not 0", ,,,,,,,2000-2500,,,60.0,6.7,,,,,,
29.05.2019 18:00,14.8,742.8,766.9,,55,Wind blowing from the east,2,,,50%., ,,,,,,,1000-1500,,,60.0,5.8,,,,,,
29.05.2019 17:00,15.7,742.6,766.7,,58,Wind blowing from the east,2,,,40%., ,,,,,,,1000-1500,,,55.0,7.3,,,,,,
29.05.2019 16:00,14.3,742.5,766.7,,62,Wind blowing from the east-southeast,4,,,50%., ,,,,,,,600-1000,,,50.0,7.1,,,,,,
29.05.2019 15:00,13.8,742.5,766.7,,69,Wind blowing from the south-east,3,,,100%., ,,,,,,,1000-1500,,,35.0,8.1,,,,,,
29.05.2019 14:00,11.8,742.6,767.0,,78,Wind blowing from the east-southeast,4,,,100%., ,Rain.,Drizzle.,,,,,600-1000,,,29.0,8.1,2,6,,,,
29.05.2019 13:00,12.3,742.3,766.7,,82,Wind blowing from the east-southeast,3,,,100%., ,,,,,,,300-600,,,24.0,9.3,,,,,,
29.05.2019 12:00,11.6,742.1,766.5,,85,Wind blowing from the east-northeast,2,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,300-600,,,18.0,9.1,,,,,,
29.05.2019 11:00,10.5,741.6,766.0,,89,Wind blowing from the north-east,2,,,100%.,"Drizzle and rain, slight. ",Rain.,Drizzle.,8.6,,,,200-300,,,6.0,8.8,,,,,,
29.05.2019 10:00,11.0,741.1,765.5,,82,Wind blowing from the east-northeast,3,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,300-600,,,27.0,8.0,,,,,,
29.05.2019 09:00,10.7,740.5,764.9,,84,Wind blowing from the north-east,3,,,100%.,Rain (not freezing). ,Rain.,,,,,,300-600,,,25.0,8.1,,,,,,
29.05.2019 08:00,10.5,739.9,764.4,,89,Wind blowing from the north,2,,,"90  or more, but not 100%", ,,,8.6,12.1,,,300-600,,,14.0,8.7,No precipitation,12,,,,
29.05.2019 07:00,10.0,739.4,763.9,,89,Wind blowing from the north-northeast,2,,,100%., ,,,,,,,300-600,,,14.0,8.3,,,,,,
29.05.2019 06:00,9.5,738.7,763.1,,92,Wind blowing from the north-northeast,2,,,100%., ,,,,,,,600-1000,,,13.0,8.2,,,,,,
29.05.2019 05:00,9.6,738.1,762.5,,93,Wind blowing from the north,2,,,100%., ,,,,,,,2000-2500,,,10.0,8.5,,,,,,
29.05.2019 04:00,9.8,737.7,762.1,,94,Wind blowing from the north,1,,,100%., ,,,,,,,2000-2500,,,10.0,8.9,,,,,,
29.05.2019 03:00,9.7,737.3,761.7,,94,Wind blowing from the north,1,,,100%., ,,,,,,,2000-2500,,,10.0,8.8,,,,,,
29.05.2019 02:00,9.6,736.9,761.3,,94,Wind blowing from the north,2,,,100%., ,,,,,,,1500-2000,,,12.0,8.7,No precipitation,6,,,,
29.05.2019 01:00,8.7,736.5,760.9,,95,Wind blowing from the west-northwest,1,,,100%.,Mist. ,Visibility reduced.,,,,,,2000-2500,,,4.0,7.9,,,,,,
29.05.2019 00:00,9.4,736.2,760.6,,95,Wind blowing from the west-northwest,1,,,100%., ,,,,,,,1500-2000,,,9.0,8.7,,,,,,
28.05.2019 23:00,10.1,735.9,760.2,,96,Wind blowing from the south,1,,,100%.,Mist. ,Visibility reduced.,,,,,,"2500 or more, or no clouds.",,,7.0,9.5,,,,,,
28.05.2019 22:00,10.7,735.4,759.6,,92,Wind blowing from the north-west,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,26.0,9.5,,,,,,
28.05.2019 21:00,11.2,734.8,759.0,,87,Wind blowing from the north-northeast,1,,,70 – 80%., ,,,,,,,1500-2000,,,35.0,9.1,,,,,,
28.05.2019 20:00,11.9,734.3,758.4,,87,Wind blowing from the north-east,2,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,11.3,15.7,,,1500-2000,,,50.0,9.7,6,12,,,,
28.05.2019 19:00,14.2,733.5,757.4,,74,Wind blowing from the west-southwest,4,,,100%., ,,,,,,,1000-1500,,,70.0,9.6,,,,,,
28.05.2019 18:00,13.2,733.0,756.9,,75,Wind blowing from the south,2,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Drizzle.,,,,,1500-2000,,,70.0,8.8,,,,,,
28.05.2019 17:00,13.1,733.3,757.3,,67,Wind blowing from the north-west,6,,,"90  or more, but not 100%","Drizzle, not freezing, slight. ",Rain.,Drizzle.,,,,,600-1000,,,70.0,7.0,,,,,,
28.05.2019 16:00,14.6,732.8,756.7,,68,Wind blowing from the west,4,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,1500-2000,,,55.0,8.7,,,,,,
28.05.2019 15:00,13.5,732.7,756.7,,77,Wind blowing from the west-southwest,5,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,,,,,,1000-1500,,,30.0,9.6,,,,,,
28.05.2019 14:00,15.4,732.4,756.2,,66,Wind blowing from the west-northwest,3,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,1500-2000,,,55.0,9.1,2,6,,,,
28.05.2019 13:00,13.5,732.2,756.1,,73,Wind blowing from the north,1,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,1500-2000,,,35.0,8.8,,,,,,
28.05.2019 12:00,12.6,732.1,756.1,,85,Wind blowing from the north-northwest,5,,,100%.,"Rain, not freezing, moderate. ",Rain.,Drizzle.,,,,,300-600,,,2.1,10.2,,,,,,
28.05.2019 11:00,14.9,731.4,755.2,,77,Wind blowing from the west-northwest,5,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Drizzle.,11.9,,,,300-600,,,13.0,10.9,,,,,,
28.05.2019 10:00,14.0,731.3,755.2,,83,Wind blowing from the north-west,2,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,Visibility reduced.,,,,,300-600,,,8.0,11.1,,,,,,
28.05.2019 09:00,13.6,731.5,755.3,,88,Wind blowing from the west-northwest,1,,,100%.,Mist. ,Visibility reduced.,,,,,,200-300,,,5.0,11.6,,,,,,
28.05.2019 08:00,12.5,731.3,755.2,,94,Wind blowing from the west,2,,,60%.,Rain (not freezing). ,Rain.,Drizzle.,11.9,17.9,,,100-200,,,3.7,11.6,0.4,12,,,,
28.05.2019 07:00,12.1,731.2,755.2,,94,Wind blowing from the north-west,2,,,"90  or more, but not 100%","Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,100-200,,,3.7,11.2,,,,,,
28.05.2019 06:00,12.1,731.1,755.1,,92,Wind blowing from the north-northwest,3,,,"90  or more, but not 100%",Mist. ,Visibility reduced.,Visibility reduced.,,,,,100-200,,,6.0,10.9,,,,,,
28.05.2019 05:00,12.0,731.1,755.1,,95,Wind blowing from the north,1,,,100%.,Mist. ,Visibility reduced.,,,,,,100-200,,,5.0,11.2,,,,,,
28.05.2019 04:00,12.1,731.2,755.2,,95,Wind blowing from the north,2,,,100%., ,,,,,,,50-100,,,8.0,11.3,,,,,,
28.05.2019 03:00,12.6,731.2,755.2,,94,Wind blowing from the north-west,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,15.0,11.6,,,,,,
28.05.2019 02:00,13.4,731.6,755.5,,92,Wind blowing from the north-northwest,2,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,"2500 or more, or no clouds.",,,29.0,12.1,0.2,6,,,,
28.05.2019 01:00,14.0,731.9,755.8,,93,Wind blowing from the north-northwest,2,,,100%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,100-200,,,14.0,12.8,,,,,,
28.05.2019 00:00,14.3,732.3,756.1,,91,Wind blowing from the north,1,,,100%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,1500-2000,,,10.0,12.8,,,,,,
27.05.2019 23:00,14.9,732.5,756.3,,82,Wind blowing from the north,4,,,100%.,Rain (not freezing). ,Rain.,Drizzle.,,,,,300-600,,,60.0,11.8,,,,,,
27.05.2019 22:00,17.0,732.3,755.9,,69,Wind blowing from the north-northwest,2,,,100%., ,,,,,,,1000-1500,,,60.0,11.3,,,,,,
27.05.2019 21:00,17.5,732.2,755.8,,69,Wind blowing from the north-west,2,,,100%., ,,,,,,,1000-1500,,,65.0,11.8,,,,,,
27.05.2019 20:00,17.9,732.1,755.7,,65,Wind blowing from the north-northwest,3,,,"90  or more, but not 100%", ,,,14.6,21.0,,,"2500 or more, or no clouds.",,,60.0,11.3,No precipitation,12,,,,
27.05.2019 19:00,18.4,732.4,755.8,,67,Wind blowing from the north-west,2,,,100%., ,,,,,,,2000-2500,,,50.0,12.1,,,,,,
27.05.2019 18:00,18.6,732.9,756.4,,64,Wind blowing from the north-northwest,2,,,100%., ,,,,,,,2000-2500,,,70.0,11.6,,,,,,
27.05.2019 17:00,19.3,733.2,756.7,,62,Wind blowing from the north-northwest,3,,,70 – 80%., ,,,,,,,2000-2500,,,70.0,11.8,,,,,,
27.05.2019 16:00,19.7,733.4,756.8,,62,Wind blowing from the north-northwest,4,,,100%., ,,,,,,,1000-1500,,,70.0,12.1,,,,,,
27.05.2019 15:00,20.9,733.6,757.0,,60,Wind blowing from the north-west,5,,,"90  or more, but not 100%", ,,,,,,,600-1000,,,65.0,12.9,,,,,,
27.05.2019 14:00,19.2,733.8,757.3,,63,Wind blowing from the west-northwest,5,,,"90  or more, but not 100%", ,,,,,,,600-1000,,,60.0,12.0,No precipitation,6,,,,
27.05.2019 13:00,19.0,734.0,757.5,,64,Wind blowing from the north-west,4,,,"90  or more, but not 100%", ,,,,,,,1000-1500,,,55.0,12.0,,,,,,
27.05.2019 12:00,18.0,734.5,758.2,,61,Wind blowing from the west,6,,,100%., ,,,,,,,1000-1500,,,55.0,10.4,,,,,,
27.05.2019 11:00,17.8,734.5,758.1,,62,Wind blowing from the west,6,,,"90  or more, but not 100%", ,,,12.0,,,,1000-1500,,,55.0,10.4,,,,,,
27.05.2019 10:00,17.7,734.4,758.0,,62,Wind blowing from the west,6,,,70 – 80%., ,,,,,,,600-1000,,,50.0,10.2,,,,,,
27.05.2019 09:00,16.7,734.8,758.5,,66,Wind blowing from the west,4,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,50.0,10.2,,,,,,
27.05.2019 08:00,14.6,734.8,758.8,,69,Wind blowing from the west,3,,,70 – 80%., ,,,12.0,20.5,,,"2500 or more, or no clouds.",,,45.0,9.0,No precipitation,12,,,,
27.05.2019 07:00,12.8,734.6,758.7,,72,Wind blowing from the south-west,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,40.0,7.8,,,,,,
27.05.2019 06:00,12.0,734.6,758.8,,75,Wind blowing from the south-southwest,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,40.0,7.6,,,,,,
27.05.2019 05:00,12.4,734.8,758.8,,73,Wind blowing from the south,3,,,100%., ,,,,,,,2000-2500,,,40.0,7.7,,,,,,
27.05.2019 04:00,12.5,735.0,759.1,,74,Wind blowing from the south-southwest,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,40.0,8.0,,,,,,
27.05.2019 03:00,12.4,735.2,759.3,,76,Wind blowing from the south,3,,,"90  or more, but not 100%", ,,,,,,,"2500 or more, or no clouds.",,,35.0,8.3,,,,,,
27.05.2019 02:00,13.5,735.4,759.4,,70,Wind blowing from the south-southwest,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,40.0,8.1,No precipitation,6,,,,
27.05.2019 01:00,13.8,735.7,759.7,,70,Wind blowing from the south,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,40.0,8.4,,,,,,
27.05.2019 00:00,15.1,735.9,759.8,,65,Wind blowing from the south-southwest,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,45.0,8.5,,,,,,
26.05.2019 23:00,15.2,736.0,759.9,,65,Wind blowing from the west-southwest,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,55.0,8.7,,,,,,
26.05.2019 22:00,16.3,736.0,759.8,,64,Wind blowing from the west,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,55.0,9.4,,,,,,
26.05.2019 21:00,18.7,736.0,759.7,,54,Wind blowing from the west,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,70.0,9.1,,,,,,
26.05.2019 20:00,20.5,736.3,759.7,,47,Wind blowing from the west-northwest,4,,,100%., ,Drizzle.,,10.6,22.0,,,"2500 or more, or no clouds.",,,55.0,8.6,Trace of precipitation,12,,,,
26.05.2019 19:00,20.3,736.5,760.0,,46,Wind blowing from the west-northwest,5,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,55.0,8.4,,,,,,
26.05.2019 18:00,21.4,736.7,760.1,,46,Wind blowing from the west,5,,,"90  or more, but not 100%", ,,,,,,,1500-2000,,,50.0,9.1,,,,,,
26.05.2019 17:00,21.3,736.9,760.3,,46,Wind blowing from the west-northwest,4,,,"90  or more, but not 100%", ,Drizzle.,,,,,,1500-2000,,,40.0,9.1,,,,,,
26.05.2019 16:00,20.2,737.2,760.7,,50,Wind blowing from the west-northwest,5,,,"90  or more, but not 100%",Drizzle (not freezing) or snow grains. ,Drizzle.,,,,,,1500-2000,,,50.0,9.3,,,,,,
26.05.2019 15:00,20.8,737.4,760.9,,52,Wind blowing from the west-southwest,6,,,50%., ,,,,,,,1000-1500,,,40.0,10.5,,,,,,
26.05.2019 14:00,20.3,737.8,761.3,,52,Wind blowing from the west,5,,,70 – 80%., ,,,,,,,1000-1500,,,70.0,10.0,No precipitation,6,,,,
26.05.2019 13:00,19.5,738.2,761.8,,53,Wind blowing from the west,5,,,"90  or more, but not 100%", ,,,,,,,1000-1500,,,55.0,9.5,,,,,,
26.05.2019 12:00,18.6,738.6,762.3,,59,Wind blowing from the south,2,,,60%., ,,,,,,,1000-1500,,,45.0,10.5,,,,,,
26.05.2019 11:00,17.6,738.7,762.5,,64,Wind blowing from the south,2,,,"90  or more, but not 100%", ,,,8.8,,,,600-1000,,,35.0,10.6,,,,,,
26.05.2019 10:00,15.9,739.0,762.9,,75,Wind blowing from the south,2,,,60%., ,,,,,,,"2500 or more, or no clouds.",,,35.0,11.4,,,,,,
26.05.2019 09:00,13.8,739.0,763.0,,78,Wind blowing from the south-west,1,,,60%., ,,,,,,,"2500 or more, or no clouds.",,,30.0,9.9,,,,,,
26.05.2019 08:00,10.5,738.9,763.3,,92,Wind blowing from the south-southwest,1,,,40%.,Mist. ,Visibility reduced.,,8.8,15.7,,,"2500 or more, or no clouds.",,,2.4,9.2,0.2,12,,,,
26.05.2019 07:00,10.1,738.7,763.2,,88,Wind blowing from the north,2,,,no clouds, ,,,,,,,,,,19.0,8.2,,,,,,
26.05.2019 06:00,9.3,738.6,763.0,,95,Wind blowing from the north,1,,,no clouds, ,,,,,,,,,,9.0,8.5,,,,,,
26.05.2019 05:00,9.7,738.6,763.0,,94,Wind blowing from the north,2,,,no clouds, ,,,,,,,,,,9.0,8.8,,,,,,
26.05.2019 04:00,10.0,738.7,763.1,,95,Wind blowing from the west-southwest,1,,,"10%  or less, but not 0",Mist. ,Visibility reduced.,,,,,,"2500 or more, or no clouds.",,,7.0,9.2,,,,,,
26.05.2019 03:00,10.9,738.7,763.0,,95,"Calm, no wind",0,,,no clouds,Mist. ,Visibility reduced.,,,,,,,,,4.8,10.1,,,,,,
26.05.2019 02:00,11.6,738.7,763.0,,95,Wind blowing from the west-southwest,1,,,no clouds,Mist. ,Rain.,Drizzle.,,,,,,,,3.7,10.8,0.2,6,,,,
26.05.2019 01:00,12.5,739.0,763.2,,87,Wind blowing from the south,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,17.0,10.4,,,,,,
26.05.2019 00:00,13.3,738.8,763.0,,84,Wind blowing from the north-northwest,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,26.0,10.7,,,,,,
25.05.2019 23:00,13.7,738.6,762.7,,79,Wind blowing from the east-southeast,2,,,100%., ,Rain.,Drizzle.,,,,,"2500 or more, or no clouds.",,,40.0,10.0,,,,,,
25.05.2019 22:00,13.6,738.1,762.2,,81,Wind blowing from the west,2,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Drizzle.,,,,,"2500 or more, or no clouds.",,,35.0,10.4,,,,,,
25.05.2019 20:00,15.8,738.0,761.9,,73,Wind blowing from the south-west,4,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Drizzle.,12.9,22.4,,,1500-2000,,,30.0,11.0,3,12,,,,
25.05.2019 19:00,16.3,737.6,761.5,,67,Wind blowing from the south,5,,,100%.,Rain (not freezing). ,Rain.,,,,,,1500-2000,,,70.0,10.2,,,,,,
25.05.2019 18:00,17.6,737.3,761.0,,60,Wind blowing from the south-southeast,5,,,"90  or more, but not 100%", ,,,,,,,1500-2000,,,45.0,9.6,,,,,,
25.05.2019 17:00,20.8,737.2,760.7,,43,Wind blowing from the north-northwest,2,,,100%., ,Rain.,Drizzle.,,,,,1000-1500,,,20.0,7.8,,,,,,
25.05.2019 16:00,20.9,737.2,760.6,,52,Wind blowing from the east-northeast,2,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Drizzle.,,,,,1500-2000,,,35.0,10.7,,,,,,
25.05.2019 14:00,20.2,737.7,761.2,,61,Wind blowing from the west-northwest,3,,,no clouds, ,Rain.,Drizzle.,,,,,,,,45.0,12.3,3,6,,,,
25.05.2019 13:00,17.7,738.1,761.8,,70,Wind blowing from the west-northwest,2,,,"90  or more, but not 100%", ,,,,,,,1500-2000,,,30.0,12.1,,,,,,
25.05.2019 12:00,14.8,738.4,762.4,,87,Wind blowing from the north-northwest,3,,,"90  or more, but not 100%",Rain (not freezing). ,Rain.,Visibility reduced.,,,,,1500-2000,,,8.0,12.6,,,,,,
25.05.2019 11:00,13.1,738.4,762.5,,90,Wind blowing from the north-northeast,3,,,100%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,11.3,,,,1000-1500,,,4.3,11.4,,,,,,
25.05.2019 10:00,13.5,738.0,762.1,,83,Wind blowing from the north-northwest,3,,,100%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,1500-2000,,,10.0,10.7,,,,,,
25.05.2019 09:00,13.4,737.5,761.5,,79,Wind blowing from the north-east,2,,,100%.,"Rain, not freezing, slight. ",Rain.,Drizzle.,,,,,1500-2000,,,10.0,9.8,,,,,,
25.05.2019 08:00,13.6,737.5,761.5,,74,Wind blowing from the north,2,,,100%., ,,,11.3,20.1,,,"2500 or more, or no clouds.",,,22.0,9.1,No precipitation,12,,,,
25.05.2019 07:00,12.5,737.2,761.4,,80,Wind blowing from the north,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,21.0,9.1,,,,,,
25.05.2019 06:00,11.5,737.0,761.2,,86,Wind blowing from the north-northwest,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,16.0,9.2,,,,,,
25.05.2019 05:00,12.2,736.9,761.1,,82,Wind blowing from the north,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,18.0,9.1,,,,,,
25.05.2019 04:00,12.4,736.8,760.9,,85,Wind blowing from the south-southeast,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,21.0,9.9,,,,,,
25.05.2019 03:00,13.1,736.8,760.9,,79,Wind blowing from the north,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,22.0,9.5,,,,,,
25.05.2019 02:00,14.1,736.9,760.9,,77,"Calm, no wind",0,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,27.0,10.0,No precipitation,6,,,,
25.05.2019 01:00,14.7,737.0,760.9,,74,Wind blowing from the west,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,30.0,10.0,,,,,,
25.05.2019 00:00,15.7,736.9,760.7,,65,Wind blowing from the west-southwest,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,35.0,9.2,,,,,,
24.05.2019 23:00,16.4,736.9,760.6,,66,Wind blowing from the south-southwest,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,35.0,10.0,,,,,,
24.05.2019 22:00,17.6,736.8,760.5,,56,Wind blowing from the south-west,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,50.0,8.7,,,,,,
24.05.2019 21:00,19.0,736.6,760.3,,56,Wind blowing from the west,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,45.0,9.9,,,,,,
24.05.2019 20:00,20.1,736.4,759.9,,47,Wind blowing from the west-southwest,2,,,100%., ,,,10.8,22.1,,,"2500 or more, or no clouds.",,,50.0,8.3,No precipitation,12,,,,
24.05.2019 19:00,20.7,736.6,760.0,,44,Wind blowing from the west-southwest,2,,,"90  or more, but not 100%", ,,,,,,,1500-2000,,,55.0,7.9,,,,,,
24.05.2019 18:00,21.4,736.9,760.3,,43,Wind blowing from the south-southwest,2,,,"90  or more, but not 100%", ,,,,,,,1500-2000,,,45.0,8.1,,,,,,
24.05.2019 17:00,21.7,737.1,760.5,,41,Wind blowing from the west,2,,,100%., ,,,,,,,2000-2500,,,50.0,7.8,,,,,,
24.05.2019 16:00,20.9,737.4,760.9,,40,Wind blowing from the south,3,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,45.0,6.6,,,,,,
24.05.2019 15:00,20.9,737.5,760.9,,38,Wind blowing from the south-east,2,,,"90  or more, but not 100%", ,,,,,,,1500-2000,,,45.0,6.1,,,,,,
24.05.2019 14:00,20.9,737.6,761.1,,36,Wind blowing from the east-southeast,2,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,45.0,5.3,No precipitation,6,,,,
24.05.2019 13:00,20.2,737.9,761.5,,38,Wind blowing from the west-northwest,1,,,100%., ,,,,,,,"2500 or more, or no clouds.",,,35.0,5.4,,,,,,
24.05.2019 12:00,19.8,738.1,761.8,,46,Wind blowing from the south-west,3,,,"10%  or less, but not 0", ,,,,,,,"2500 or more, or no clouds.",,,35.0,7.7,,,,,,
24.05.2019 11:00,18.9,738.4,762.1,,52,Wind blowing from the south,2,,,100%., ,,,7.9,,,,"2500 or more, or no clouds.",,,30.0,8.9,,,,,,
24.05.2019 10:00,16.6,738.6,762.4,,67,Wind blowing from the south-southwest,1,,,"90  or more, but not 100%", ,,,,,,,"2500 or more, or no clouds.",,,14.0,10.3,,,,,,
24.05.2019 09:00,13.3,738.6,762.7,,76,Wind blowing from the west,1,,,70 – 80%., ,,,,,,,"2500 or more, or no clouds.",,,12.0,9.2,,,,,,
24.05.2019 08:00,11.2,738.7,763.0,,83,"Calm, no wind",0,,,100%., ,,,7.9,17.7,,,"2500 or more, or no clouds.",,,9.0,8.3,No precipitation,12,,,,
24.05.2019 07:00,9.2,738.5,763.0,,88,Wind blowing from the north,1,,,40%.,Mist. ,Visibility reduced.,,,,,,"2500 or more, or no clouds.",,,7.0,7.3,,,,,,
